country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"1,202","1,759","1,252","2,137","4,749","3,417","1,753","2,813","3,165","2,017",1648,1617,2196,10527,8328,12513,19538,12935,10136
Albania,"4,358","3,765","3,362","3,840","5,947","7,914","5,737","5,754","5,137","4,711",3612,3364,3186,3828,4653,5773,5722,5049,5366
Algeria,875,"1,030",759,805,"1,115","1,300","1,036","1,037","1,485","1,305",1364,1369,1241,1669,1775,2180,2139,2123,2299
American Samoa,28,26,16,12,15,28,11,14,19,14,0,0,0,0,0,0,0,0,0
Angola,94,92,59,107,188,272,199,221,173,148,148,187,143,148,154,198,209,176,226
Anguilla,55,20,26,22,35,32,25,22,21,19,25,23,22,20,22,20,23,23,14
Antigua-Barbuda,461,380,301,414,440,570,415,444,437,359,0,0,0,0,0,0,0,0,0
Argentina,"3,297","3,661","3,129","4,805","7,081","7,327","5,645","5,353","5,780","4,399",4473,4359,4372,3874,3730,4091,3482,3080,3925
Armenia,"1,762","1,800","1,287","1,833","2,591","6,317","4,351","3,586","3,442","2,979",2983,2681,2722,2913,2962,3543,3437,3217,3101
Aruba,29,32,27,31,42,51,55,36,38,49,39,54,45,40,38,23,47,45,52
Australia,"2,811","2,557","1,836","2,604","3,193","3,249","2,518","2,464","2,622","2,512",2343,2414,2759,2809,3034,3239,2906,2693,3205
Austria,522,483,295,402,532,524,485,443,512,442,424,407,415,438,474,432,387,401,437
Azerbaijan,"1,152","1,164",746,969,"1,523","2,371","1,166","1,071",834,781,728,663,637,672,676,784,881,1015,1169
Bahamas,924,808,423,586,698,847,738,682,751,652,668,619,630,654,725,656,725,759,922
Bahrain,118,85,59,116,140,148,133,96,120,104,119,104,115,122,145,138,130,143,183
Bangladesh,"7,152","5,483","4,616","8,061","11,487","14,644","12,074","11,753","16,651","14,819",16707,14705,12099,14645,13570,18723,14693,15717,15176
Barbados,895,813,516,630,846,959,689,585,603,465,455,460,428,384,376,371,373,318,338
Belarus,"2,901","2,923","1,858","2,255","3,503","3,086","2,328","2,390","2,407","2,038",1964,1659,1970,2015,1994,2127,1919,1951,2263
Belgium,814,769,455,638,859,716,638,642,686,592,567,574,675,632,662,691,625,537,714
Belize,936,966,588,871,876,"1,252","1,073","1,077","1,041",965,905,847,946,789,772,851,746,632,806
Benin,75,137,76,185,193,275,258,317,401,486,462,415,342,517,466,577,648,573,619
Bermuda,98,108,92,100,116,160,108,92,108,72,71,85,88,106,112,99,68,65,84
Bhutan,5,14,15,17,30,78,52,42,594,"6,109",10137,10198,8954,7298,6325,4217,2940,2350,1441
Bolivia,"1,819","1,664","1,376","1,768","2,197","4,025","2,590","2,436","2,837","2,253",2173,1948,2071,1719,1626,1595,1510,1523,1525
Bosnia-Herzegovina,"23,594","25,329","6,155","10,552","14,074","3,789","1,569","1,491","1,501",946,0,0,0,0,0,0,0,0,0
Botswana,24,30,27,34,54,53,49,41,55,66,76,80,53,58,61,78,112,72,61
Brazil,"9,448","9,439","6,331","10,556","16,662","17,903","14,295","12,195","14,701","12,258",11763,11441,11033,10429,11424,13812,14989,15394,19825
British Virgin Islands,70,43,43,35,41,47,40,53,46,46,0,0,0,0,0,0,0,0,0
Brunei,27,28,20,22,49,25,32,18,26,20,25,19,21,25,21,31,24,29,23
Bulgaria,"4,400","3,608","3,825","4,253","5,635","4,828","3,981","2,960","3,133","2,570",2661,2440,2844,2981,2688,2670,2184,1798,1759
Burkina Faso,68,64,60,103,128,221,238,238,416,377,433,558,585,583,575,642,541,525,646
Burma,"1,373","1,356","1,193","1,379","2,095","4,562","3,130","3,403","13,621","12,925",16518,17383,12565,11144,12808,13065,12897,8182,5024
Burundi,79,120,74,100,186,320,257,255,"1,505",841,593,535,260,273,351,415,1094,762,781
Cambodia,"2,462","2,800","2,263","3,553","4,022","5,773","4,246","3,713","3,771","2,986",2745,2473,2624,2536,1868,3173,4056,3187,2748
Cameroon,791,984,927,"1,309","1,458","2,919","3,392","3,771","3,463","4,161",4754,3815,3908,3943,4374,4899,4668,4236,4369
Canada,"21,752","19,352","11,350","15,569","21,878","18,207","15,495","15,109","16,140","13,328",12800,12932,13181,11586,12673,12793,11484,9898,11388
Cape Verde,868,871,745,"1,015","1,225","1,780","2,048","1,916","2,238","1,668",0,0,0,0,0,0,0,0,0
Cayman Islands,23,24,35,38,37,65,40,37,45,52,41,44,44,48,53,55,67,47,53
Central African Republic,11,13,6,17,24,51,52,88,107,101,134,116,213,155,234,202,178,304,231
Chad,44,47,8,23,31,73,74,96,102,120,171,155,111,119,175,136,205,251,224
Chile,"1,921","1,839","1,310","1,810","2,404","2,774","2,274","2,017","2,250","1,950",1853,1673,1736,1581,1596,1698,1625,1519,1762
China,"56,267","61,082","40,568","55,494","69,933","87,307","76,655","80,271","64,238","70,863",87016,81784,71798,76089,74558,81772,71565,65214,62248
Colombia,"16,627","18,758","14,720","18,846","25,566","43,144","33,187","30,213","27,849","22,406",22635,20931,21131,18175,17316,18610,17956,17545,19841
"Congo, Democratic Republic",145,178,110,155,260,738,"1,129","1,261","2,122","1,764",2424,3731,2792,4347,5345,6791,8709,9941,8999
"Congo, Republic",311,677,513,670,"1,064","1,600",972,950,"1,563",968,1371,1461,1059,552,496,625,632,580,476
Costa Rica,"1,733","1,591","1,246","1,755","2,278","3,109","2,540","2,090","2,384","2,164",2135,2020,2114,1966,2029,2224,2184,2171,2348
Cote d'Ivoire,596,629,483,666,930,"2,067","1,193","1,645","2,159","1,621",1302,1760,1486,1477,1497,1617,1810,1375,1589
Croatia,"2,853","3,798","1,153","1,511","1,780",945,482,455,496,357,349,336,353,297,348,388,375,286,360
