state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,"2,246","2,562","1,689","2,247","4,200","4,277","3,393","3,877","3,891","3,740",4063,3873,3848,3685,3928,4736,3801,3737,3669
Alaska,"1,389","1,557","1,188","1,261","1,524","1,554","1,617","1,534","1,608","1,703",1799,1612,1460,1505,1572,1726,1547,1375,1374
Arizona,"16,197","17,588","10,955","19,507","18,986","21,529","17,528","20,638","20,997","18,243",20333,18434,16097,16908,17997,20694,19344,18335,18181
Arkansas,"2,561","2,531","1,903","2,288","2,698","2,924","2,722","2,997","2,942","2,684",2874,2795,2900,2793,2814,3158,3071,3000,2915
California,"281,469","289,422","175,579","253,858","232,014","264,667","228,941","238,444","227,876","208,446",210591,196622,191806,198379,209568,223141,214243,200897,193093
Colorado,"12,451","12,027","10,661","11,255","11,975","12,713","11,039","12,741","12,841","12,489",13547,13327,11108,10872,12661,14225,14520,13913,13558
Connecticut,"12,089","11,213","8,274","12,335","15,334","18,697","12,932","12,190","13,632","12,222",12577,12237,10985,11252,11102,12669,11938,11629,10630
Delaware,"1,847","1,856","1,487","1,705","2,991","2,263","2,085","2,295","2,184","2,198",2355,2208,2325,2085,2168,2204,2244,1831,2084
District of Columbia,"3,034","2,719","2,491","2,148","2,457","3,775","2,541","2,652","2,934","2,897",2724,2811,2981,3169,2976,3114,2885,2775,2398
Florida,"104,148","90,460","52,770","76,178","122,915","155,986","126,277","133,445","127,006","107,276",109229,103047,102939,109310,118873,136337,127609,130405,118140
Georgia,"19,370","20,496","10,794","16,681","31,527","32,202","27,353","27,769","28,396","24,833",27015,26134,24387,23792,25919,29572,26242,26725,27246
Guam,"1,720","1,685","1,355","1,275","1,436","1,716","1,438","1,305","1,427","1,383",1313,1430,1210,1089,1249,1147,1107,1231,1011
Hawaii,"6,282","5,478","4,899","6,405","6,480","7,499","7,236","6,572","6,929","7,037",7296,6764,6226,5741,6513,6285,5396,5430,4917
Idaho,"2,285","2,229","1,686","2,299","2,768","2,377","2,044","2,766","3,120","2,556",2602,2428,2120,2202,2531,2562,2709,2728,2312
Illinois,"48,087","47,095","32,413","46,896","52,415","52,452","41,971","42,723","41,889","37,909",38325,38373,35988,36535,40482,43207,40530,38287,37958
Indiana,"5,980","6,838","5,241","6,262","6,913","8,122","6,639","8,028","9,087","8,539",8262,8359,7668,8008,8554,9946,10052,9741,8527
Iowa,"5,014","5,570","3,419","4,067","4,535","4,085","3,103","3,696","3,963","4,245",4624,4679,4105,4225,5047,5299,5577,5484,5534
Kansas,"4,018","4,500","3,804","4,139","4,512","4,277","4,141","5,344","5,319","5,501",5086,4980,5000,4861,5419,5709,5703,5630,5139
Kentucky,"4,525","4,667","3,038","3,820","5,265","5,504","4,340","5,315","5,260","4,930",5403,5243,5159,5634,5647,7098,7537,8734,6006
Louisiana,"3,751","3,176","2,214","3,095","3,776","2,693","3,475","4,011","4,299","4,397",4226,4454,4355,4382,4696,5784,4688,4889,5116
Maine,"1,185","1,265",992,"1,322","1,907","1,717","1,488","1,617","1,675","1,349",1467,1497,1208,1382,1464,1748,1594,1749,1361
Maryland,"21,919","23,677","17,770","20,549","22,868","30,199","24,255","27,062","26,722","26,450",25778,24971,25361,24787,22627,26077,25095,24301,22304
Massachusetts,"28,847","31,498","20,127","28,067","34,232","35,558","30,555","30,369","32,607","31,069",32236,31392,29482,29776,28535,35706,37010,33174,30834
Michigan,"21,386","21,724","13,515","18,851","23,591","20,907","18,727","17,947","18,919","18,579",18347,17494,16952,18185,18049,22569,18927,19850,17414
